"time","y1","y2"
0.35,0.13519,0.271229
0.351,0.136038,0.27294
0.352,0.136884,0.274649
0.353,0.13773,0.276357
0.354,0.138574,0.278062
0.355,0.139417,0.279765
0.356,0.14026,0.281467
0.357,0.141101,0.283166
0.358,0.141941,0.284864
0.359,0.14278,0.28656
0.36,0.143618,0.288254
0.361,0.144455,0.289946
0.362,0.145291,0.291636
0.363,0.146126,0.293324
0.364,0.14696,0.29501
0.365,0.147793,0.296694
0.366,0.148625,0.298377
0.367,0.149456,0.300057
0.368,0.150285,0.301736
0.369,0.151114,0.303413
0.37,0.151942,0.305088
0.371,0.152768,0.306761
0.372,0.153594,0.308432
0.373,0.154418,0.310101
0.374,0.155241,0.311768
0.375,0.156064,0.313434
0.376,0.156885,0.315097
0.377,0.157705,0.316759
0.378,0.158525,0.318419
0.379,0.159343,0.320076
0.38,0.16016,0.321732
0.381,0.160976,0.323387
0.382,0.161791,0.325039
0.383,0.162605,0.326689
0.384,0.163418,0.328338
0.385,0.16423,0.329984
0.386,0.165041,0.331629
0.387,0.165851,0.333272
0.388,0.166659,0.334913
0.389,0.167467,0.336552
0.39,0.168274,0.338189
0.391,0.16908,0.339824
0.392,0.169884,0.341458
0.393,0.170688,0.343089
0.394,0.17149,0.344719
0.395,0.172292,0.346347
0.396,0.173092,0.347973
0.397,0.173892,0.349597
0.398,0.17469,0.351219
0.399,0.175487,0.35284
0.4,0.176284,0.354458
0.401,0.177079,0.356075
0.402,0.177873,0.35769
0.403,0.178667,0.359303
0.404,0.179459,0.360914
0.405,0.18025,0.362523
0.406,0.18104,0.364131
0.407,0.181829,0.365736
0.408,0.182617,0.36734
0.409,0.183404,0.368942
0.41,0.18419,0.370542
0.411,0.184975,0.37214
0.412,0.185759,0.373736
0.413,0.186542,0.375331
0.414,0.187324,0.376923
0.415,0.188104,0.378514
0.416,0.188884,0.380103
0.417,0.189663,0.38169
0.418,0.190441,0.383275
0.419,0.191217,0.384859
0.42,0.191993,0.386441
0.421,0.192768,0.38802
0.422,0.193541,0.389598
0.423,0.194314,0.391174
0.424,0.195085,0.392749
0.425,0.195856,0.394321
0.426,0.196625,0.395892
0.427,0.197394,0.397461
0.428,0.198161,0.399028
0.429,0.198928,0.400593
0.43,0.199693,0.402156
0.431,0.200458,0.403718
0.432,0.201221,0.405277
0.433,0.201983,0.406835
0.434,0.202745,0.408391
0.435,0.203505,0.409946
0.436,0.204264,0.411498
0.437,0.205022,0.413049
0.438,0.20578,0.414597
0.439,0.206536,0.416144
0.44,0.207291,0.41769
0.441,0.208045,0.419233
